iter	Passed	Remaining
0	82	81918
1	82	41068
2	82	27449
3	82	20633
4	83	16546
5	83	13823
6	83	11875
7	83	10414
8	84	9277
9	84	8366
10	84	7623
11	85	7003
12	85	6479
13	85	6029
14	85	5639
15	86	5298
16	86	4998
17	86	4731
18	87	4492
19	87	4277
20	87	4082
21	87	3906
22	88	3744
23	88	3598
24	88	3462
25	89	3337
26	89	3220
27	89	3112
28	89	3011
29	90	2917
30	90	2829
31	90	2746
32	91	2669
33	91	2596
34	91	2526
35	91	2460
36	92	2398
37	92	2340
38	92	2285
39	93	2232
40	93	2182
41	93	2134
42	93	2088
43	94	2044
44	94	2003
45	94	1963
46	94	1924
47	95	1888
48	95	1853
49	95	1819
50	96	1786
51	96	1755
52	96	1725
53	96	1696
54	97	1668
55	97	1641
56	97	1615
57	97	1589
58	98	1565
59	98	1542
60	98	1519
61	98	1497
62	99	1476
63	99	1455
64	99	1435
65	100	1416
66	100	1397
67	100	1376
68	100	1358
69	100	1341
70	101	1324
71	101	1308
72	101	1292
73	102	1276
74	102	1261
75	102	1247
76	102	1232
77	103	1218
78	103	1205
79	103	1192
80	103	1179
81	104	1166
82	104	1154
83	104	1142
84	104	1128
85	105	1117
86	105	1104
87	105	1093
88	105	1082
89	106	1072
90	106	1062
91	106	1051
92	106	1042
93	107	1032
94	107	1022
95	107	1013
96	107	1004
97	108	995
98	108	987
99	108	978
100	109	970
101	109	960
102	109	952
103	109	944
104	109	936
105	110	928
106	110	921
107	110	913
108	110	906
109	111	899
110	111	892
111	111	885
112	111	879
113	112	872
114	122	943
115	122	935
116	129	976
117	129	969
118	129	961
119	130	954
120	130	947
121	130	940
122	130	932
123	131	925
124	131	919
125	131	913
126	131	907
127	132	899
128	132	893
129	132	887
130	132	881
131	133	875
132	133	869
133	133	864
134	133	858
135	134	853
136	134	847
137	134	841
138	134	836
139	135	830
140	135	825
141	135	820
142	136	815
143	136	810
144	136	805
145	136	800
146	137	795
147	137	790
148	137	786
149	137	781
150	138	777
151	138	772
152	157	873
153	174	958
154	174	952
155	174	946
156	175	940
157	175	935
158	175	929
159	176	924
160	176	918
161	176	913
162	176	908
163	177	903
164	177	898
165	177	893
166	178	887
167	178	882
168	185	909
169	185	904
170	185	899
171	185	894
172	186	889
173	186	884
174	186	880
175	186	875
176	187	870
177	187	865
178	187	861
179	187	856
180	188	851
181	188	846
182	188	841
183	188	837
184	189	833
185	189	828
186	189	824
187	189	820
188	190	816
189	190	812
190	190	807
191	190	803
192	191	799
193	191	795
194	191	791
195	192	787
196	192	784
197	192	780
198	192	776
199	193	772
200	193	768
201	193	764
202	193	761
203	194	757
204	194	754
205	194	750
206	194	746
207	195	743
208	195	739
209	195	736
210	196	732
211	196	729
212	196	726
213	196	722
214	197	719
215	197	716
216	197	712
217	197	709
218	198	706
219	198	703
220	198	700
221	198	697
222	199	693
223	199	690
224	199	687
225	199	684
226	200	681
227	200	678
228	200	675
229	200	672
230	201	669
231	201	667
232	201	664
233	202	661
234	202	658
235	202	655
236	202	653
237	203	650
238	203	647
239	203	644
240	203	642
241	204	639
242	204	636
243	204	634
244	204	631
245	205	629
246	205	626
247	205	623
248	206	621
249	206	618
250	206	616
251	206	613
252	207	611
253	207	608
254	207	606
255	207	604
256	208	601
257	208	599
258	208	597
259	208	594
260	209	592
261	209	589
262	209	587
263	209	585
264	210	583
265	210	580
266	210	578
267	211	576
268	211	574
269	211	571
270	211	569
271	212	567
272	212	565
273	212	563
274	212	561
275	213	559
276	213	557
277	213	555
278	213	552
279	214	550
280	214	548
281	214	546
282	215	544
283	215	542
284	215	540
285	215	538
286	216	536
287	216	534
288	216	533
289	216	531
290	217	529
291	217	527
292	217	525
293	217	523
294	218	521
295	218	519
296	218	517
297	219	516
298	219	514
299	219	512
300	219	510
301	220	508
302	220	506
303	220	505
304	220	503
305	221	501
306	221	499
307	221	497
308	221	496
309	222	494
310	222	492
311	222	491
312	222	489
313	223	487
314	223	486
315	223	484
316	224	482
317	224	480
318	224	479
319	224	477
320	225	475
321	225	474
322	225	472
323	225	471
324	226	469
325	226	467
326	226	466
327	226	464
328	227	463
329	227	461
330	227	460
331	227	458
332	228	457
333	228	455
334	228	454
335	229	452
336	229	451
337	229	449
338	229	448
339	230	446
340	230	445
341	230	443
342	230	442
343	231	440
344	231	439
345	231	437
346	231	436
347	232	435
348	232	433
349	232	432
350	232	430
351	233	429
352	233	428
353	233	426
354	234	425
355	234	423
356	234	422
357	234	421
358	235	419
359	235	418
360	235	417
361	235	415
362	236	414
363	236	413
364	236	411
365	236	410
366	237	409
367	237	407
368	237	406
369	238	405
370	238	404
371	238	402
372	238	401
373	239	400
374	239	398
375	239	397
376	239	396
377	240	395
378	240	394
379	240	392
380	240	391
381	241	390
382	241	389
383	241	387
384	242	386
385	242	385
386	242	384
387	242	383
388	243	381
389	243	380
390	243	379
391	243	378
392	244	377
393	244	375
394	244	374
395	244	373
396	245	372
397	245	371
398	245	370
399	246	369
400	246	367
401	246	366
402	246	365
403	247	364
404	247	363
405	247	362
406	247	361
407	248	360
408	248	358
409	248	357
410	248	356
411	249	355
412	249	354
413	249	353
414	249	352
415	250	351
416	250	350
417	250	349
418	251	348
419	251	347
420	251	345
421	251	344
422	252	343
423	252	342
424	252	341
425	252	340
426	253	339
427	253	338
428	260	346
429	266	353
430	266	352
431	266	351
432	267	349
433	267	348
434	267	347
435	268	346
436	268	345
437	268	344
438	268	343
439	269	342
440	269	341
441	269	340
442	269	339
443	270	338
444	270	337
445	270	336
446	270	335
447	271	334
448	271	333
449	271	332
450	272	331
451	272	330
452	272	329
453	272	328
454	273	327
455	273	326
456	273	325
457	273	324
458	274	323
459	274	322
460	274	321
461	274	320
462	275	319
463	275	318
464	275	317
465	275	316
466	276	315
467	276	314
468	276	313
469	277	312
470	277	311
471	277	310
472	277	309
473	278	308
474	278	307
475	278	306
476	278	305
477	279	304
478	279	303
479	279	303
480	280	302
481	280	301
482	280	300
483	280	299
484	281	298
485	281	297
486	281	296
487	281	295
488	282	294
489	287	299
490	288	298
491	288	297
492	288	296
493	288	295
494	289	295
495	289	294
496	289	293
497	289	292
498	290	291
499	290	290
500	290	289
501	291	288
502	291	287
503	291	286
504	291	286
505	292	285
506	292	284
507	292	283
508	292	282
509	293	281
510	293	280
511	293	279
512	293	279
513	294	278
514	294	277
515	294	276
516	295	275
517	295	274
518	295	273
519	295	273
520	296	272
521	296	271
522	296	270
523	296	269
524	297	268
525	297	268
526	297	267
527	297	266
528	298	265
529	298	264
530	298	263
531	299	263
532	299	262
533	299	261
534	299	260
535	300	259
536	300	258
537	300	258
538	300	257
539	301	256
540	301	255
541	301	254
542	301	254
543	302	253
544	302	252
545	302	251
546	302	250
547	303	250
548	303	249
549	303	248
550	303	247
551	304	246
552	304	246
553	304	245
554	305	244
555	305	243
556	305	243
557	305	242
558	306	241
559	306	240
560	306	239
561	306	239
562	307	238
563	307	237
564	307	236
565	307	236
566	308	235
567	308	234
568	308	233
569	309	233
570	309	232
571	309	231
572	309	230
573	310	230
574	310	229
575	310	228
576	310	227
577	311	227
578	311	226
579	311	225
580	311	224
581	312	224
582	312	223
583	312	222
584	313	222
585	313	221
586	313	220
587	313	219
588	314	219
589	314	218
