iter	Passed	Remaining
0	59	59763
1	60	30251
2	61	20356
3	61	15402
4	62	12446
5	63	10470
6	63	9060
7	64	8009
8	65	7184
9	67	6704
10	88	7975
11	89	7362
12	90	6888
13	91	6434
14	92	6055
15	92	5709
16	93	5408
17	94	5147
18	94	4901
19	95	4667
20	95	4454
21	95	4259
22	96	4082
23	96	3919
24	96	3769
25	96	3631
26	107	3863
27	107	3734
28	107	3613
29	108	3500
30	108	3393
31	108	3292
32	109	3197
33	109	3108
34	109	3025
35	110	2946
36	110	2871
37	110	2800
38	110	2732
39	111	2668
40	111	2608
41	111	2551
42	112	2495
43	112	2443
44	112	2392
45	113	2343
46	113	2297
47	113	2252
48	113	2209
49	114	2168
50	114	2129
51	114	2090
52	114	2054
53	115	2020
54	115	1986
55	115	1953
56	116	1921
57	126	2053
58	126	2022
59	127	1993
60	127	1963
61	127	1934
62	128	1906
63	128	1878
64	128	1852
65	129	1826
66	129	1801
67	129	1777
68	129	1753
69	130	1730
70	130	1708
71	130	1686
72	131	1664
73	131	1644
74	131	1623
75	131	1604
76	132	1584
77	132	1565
78	132	1547
79	133	1529
80	133	1512
81	133	1495
82	133	1476
83	133	1460
84	134	1444
85	134	1428
86	134	1413
87	134	1398
88	135	1384
89	135	1370
90	135	1356
91	136	1343
92	136	1330
93	136	1317
94	137	1305
95	137	1293
96	137	1281
97	137	1269
98	138	1257
99	138	1246
100	138	1234
101	139	1224
102	139	1213
103	139	1202
104	139	1192
105	140	1181
106	140	1172
107	140	1162
108	141	1153
109	141	1144
110	141	1135
111	142	1126
112	142	1117
113	142	1108
114	142	1099
115	143	1091
116	143	1081
117	143	1073
118	143	1065
119	144	1057
120	144	1049
121	144	1040
122	144	1033
123	145	1025
124	145	1018
125	145	1011
126	156	1072
127	156	1065
128	156	1057
129	156	1050
130	157	1043
131	157	1036
132	157	1029
133	158	1021
134	158	1015
135	158	1008
136	158	1001
137	159	994
138	159	988
139	159	981
140	160	975
141	160	968
142	160	962
143	160	955
144	161	949
145	161	944
146	161	938
147	162	932
148	162	926
149	162	921
150	162	915
151	163	910
152	163	904
153	163	899
154	164	894
155	164	888
156	164	883
157	164	878
158	165	873
159	175	921
160	175	915
161	186	962
162	216	1110
163	216	1104
164	216	1098
165	217	1091
166	217	1085
167	217	1079
168	218	1072
169	218	1066
170	218	1060
171	219	1055
172	219	1049
173	219	1043
174	220	1037
175	220	1032
176	220	1026
177	221	1020
178	221	1015
179	221	1009
180	221	1004
181	222	998
182	222	993
183	222	988
184	223	982
185	223	977
186	223	972
187	223	967
188	224	962
189	224	957
190	224	952
191	225	947
192	225	942
193	225	937
194	276	1140
195	277	1138
196	278	1133
197	278	1129
198	279	1124
199	280	1120
200	280	1116
201	281	1111
202	282	1107
203	282	1102
204	282	1096
205	283	1091
206	283	1085
207	283	1080
208	283	1074
209	284	1069
210	284	1063
211	284	1058
212	285	1053
213	296	1087
214	296	1083
215	301	1094
216	301	1089
217	302	1083
218	302	1078
219	302	1073
220	303	1068
221	303	1063
222	303	1058
223	304	1053
224	304	1048
225	304	1043
226	315	1072
227	329	1114
228	329	1110
229	330	1106
230	330	1101
231	331	1097
232	332	1093
233	332	1088
234	332	1083
235	333	1078
236	333	1073
237	333	1068
238	334	1063
239	334	1059
240	334	1054
241	335	1049
242	335	1044
243	335	1040
244	336	1036
245	336	1032
246	337	1027
247	337	1023
248	337	1018
249	338	1014
250	338	1010
251	338	1005
252	339	1001
253	339	997
254	339	992
255	340	988
256	340	984
257	340	980
258	341	976
259	341	971
260	341	967
261	342	963
262	342	959
263	342	955
264	343	952
265	343	949
266	344	945
267	344	941
268	345	938
269	345	934
270	346	931
271	346	927
272	347	924
273	347	920
274	347	916
275	348	913
276	348	909
277	348	905
278	349	902
279	349	898
280	349	895
281	350	891
282	350	888
283	350	884
284	351	881
285	351	877
286	352	874
287	352	871
288	352	867
289	353	864
290	353	860
291	353	857
292	354	854
293	354	851
294	354	847
295	355	844
296	355	841
297	355	838
298	356	835
299	356	831
300	356	828
301	357	825
302	357	822
303	357	819
304	358	816
305	358	813
306	359	810
307	359	808
308	360	805
309	360	802
310	361	800
311	361	797
312	362	795
313	362	792
314	363	789
315	363	787
316	364	784
317	364	781
318	364	778
319	365	776
320	365	773
321	366	770
322	366	768
323	366	765
324	367	762
325	367	759
326	367	757
327	368	754
328	368	751
329	368	749
330	369	746
331	369	743
332	370	741
333	370	738
334	370	735
335	371	733
336	371	730
337	371	728
338	372	725
339	372	723
340	382	739
341	383	737
342	383	734
343	383	731
344	384	729
345	384	726
346	384	724
347	385	721
348	385	719
349	385	716
350	386	714
351	386	712
352	387	709
353	387	707
354	388	705
355	388	702
356	388	700
357	389	698
358	389	695
359	390	693
360	390	691
361	390	688
362	391	686
363	391	684
364	392	682
365	392	679
366	392	677
367	393	675
368	393	673
369	394	670
370	394	668
371	394	666
372	395	664
373	395	662
374	396	660
375	396	657
376	396	655
377	397	653
378	397	651
379	397	648
380	398	646
381	398	644
382	398	642
383	399	640
384	399	638
385	399	636
386	400	633
387	400	631
388	400	629
389	401	627
390	401	625
391	402	623
392	402	621
393	402	619
394	403	617
395	403	615
396	403	613
397	404	611
398	404	609
399	404	607
400	405	605
401	405	603
402	405	601
403	406	599
404	406	597
405	406	595
406	407	593
407	407	591
408	407	589
409	408	587
410	408	585
411	408	583
412	409	581
413	409	579
414	409	577
415	409	575
416	410	573
417	410	571
418	410	569
419	411	567
420	411	565
421	411	564
422	412	562
423	412	560
424	412	558
425	424	571
426	424	569
427	426	569
428	426	568
429	427	566
430	427	564
431	427	562
432	428	560
433	428	558
434	428	556
435	429	554
436	429	553
437	429	551
438	430	549
439	430	547
440	430	545
441	430	544
442	431	542
443	431	540
444	431	538
445	432	536
446	432	534
447	432	533
448	432	531
449	433	529
450	433	527
451	433	526
452	434	524
453	434	522
454	434	520
455	435	518
456	435	517
457	435	515
458	435	513
459	436	512
460	436	510
461	436	508
462	437	506
463	437	505
464	437	503
465	438	501
466	438	500
467	438	498
468	438	496
469	439	495
470	439	493
471	439	491
472	440	490
473	470	522
474	471	520
475	471	518
476	471	517
477	472	515
478	472	513
479	472	512
480	473	510
481	473	508
482	473	507
483	473	505
484	474	503
485	474	501
486	474	500
487	475	498
488	475	497
489	475	495
490	476	493
491	476	491
492	476	490
493	477	488
494	477	487
495	477	485
496	478	483
497	478	482
498	478	480
499	479	479
500	479	477
501	479	475
502	479	474
503	480	472
504	490	481
505	491	479
506	491	477
507	491	476
508	492	474
509	492	473
510	492	471
511	493	469
512	493	468
513	493	466
514	493	465
515	494	463
516	494	462
517	494	460
518	495	458
519	495	457
520	495	455
521	495	454
522	496	452
523	496	450
524	496	449
525	496	447
526	497	446
527	497	444
528	497	443
529	498	441
530	498	440
531	498	438
532	498	437
533	499	435
534	499	434
535	499	432
536	499	430
537	520	446
538	520	445
539	520	443
540	520	441
541	521	440
542	521	438
543	521	437
544	522	435
545	522	434
546	522	432
547	523	431
548	523	429
549	523	428
550	523	426
551	524	425
552	524	424
553	524	422
554	525	421
555	525	419
556	525	418
557	525	416
558	526	415
559	526	413
560	526	412
561	527	410
562	527	409
563	527	407
564	527	406
565	528	405
566	528	403
567	528	402
568	529	400
569	529	399
570	529	397
571	540	404
572	550	410
573	550	408
574	550	407
575	551	405
576	551	404
577	551	402
578	552	401
579	552	400
580	552	398
581	553	397
582	553	395
583	553	394
584	553	392
585	554	391
586	554	390
587	554	388
588	555	387
589	555	385
590	555	384
591	556	383
592	556	381
593	556	380
594	556	379
595	557	377
596	557	376
597	557	374
598	558	373
599	558	372
600	558	370
601	558	369
602	559	368
603	559	367
604	560	365
605	561	365
606	562	363
607	562	362
608	562	361
609	562	359
610	563	358
611	563	357
612	564	356
613	564	355
614	565	353
615	565	352
616	565	351
617	565	349
618	566	348
619	566	347
620	566	345
621	567	344
622	567	343
623	567	342
624	568	340
625	568	339
626	568	338
627	569	337
628	569	335
629	569	334
630	570	333
631	570	332
632	570	330
633	570	329
634	571	328
635	571	327
636	571	325
637	575	326
638	576	325
639	576	324
640	576	323
641	577	321
642	577	320
643	577	319
644	577	318
645	581	318
646	581	317
647	581	315
648	581	314
649	582	313
650	582	312
651	582	311
652	583	309
653	595	314
654	606	319
655	606	318
656	607	316
657	607	315
658	607	314
659	609	313
660	609	312
661	610	311
662	611	310
663	611	309
664	611	308
665	612	307
666	612	305
667	612	304
668	613	303
669	613	302
670	613	300
671	613	299
672	614	298
673	614	297
674	614	295
675	615	294
676	615	293
677	615	292
678	615	291
679	616	289
680	616	288
681	616	287
682	617	286
683	617	285
684	617	284
685	617	282
686	618	281
687	618	280
688	618	279
689	619	278
690	619	276
691	619	275
692	619	274
693	620	273
694	620	272
695	620	271
696	621	270
697	621	268
698	621	267
699	622	266
700	622	265
701	622	264
702	622	263
703	623	262
704	623	260
705	623	259
706	624	258
707	644	265
708	644	264
709	644	263
710	645	262
711	645	261
712	645	259
713	646	258
714	646	257
715	646	256
716	646	255
717	647	254
718	647	253
719	647	251
720	648	250
721	648	249
722	648	248
723	648	247
724	649	246
725	649	245
726	649	243
727	650	242
728	650	241
729	650	240
730	650	239
731	651	238
732	651	237
733	651	236
734	651	235
735	652	233
736	652	232
737	652	231
738	652	230
739	653	229
740	653	228
741	653	227
742	674	233
743	674	232
744	674	230
745	675	229
746	675	228
747	675	227
748	675	226
749	676	225
750	676	224
751	676	223
752	677	222
753	677	220
754	677	219
755	677	218
756	678	217
757	678	216
758	678	215
759	678	214
760	679	213
761	679	212
762	679	211
763	680	210
764	680	209
765	680	207
766	680	206
767	681	205
768	681	204
769	681	203
770	682	202
771	682	201
772	682	200
773	682	199
774	683	198
775	683	197
776	693	199
777	704	200
778	704	199
779	704	198
780	704	197
781	705	196
782	705	195
783	705	194
784	706	193
785	706	192
786	706	191
787	707	190
788	707	189
789	707	188
790	707	187
791	708	185
792	708	184
793	708	183
794	709	182
795	709	181
796	709	180
797	709	179
798	710	178
799	710	177
800	710	176
801	711	175
802	711	174
803	711	173
804	711	172
805	712	171
806	712	170
807	712	169
808	713	168
809	713	167
810	753	175
811	774	179
812	774	178
813	774	177
814	775	175
815	775	174
816	775	173
817	776	172
818	776	171
819	777	170
820	777	169
821	777	168
822	778	167
823	778	166
824	778	165
825	779	164
826	779	163
827	779	161
828	780	160
829	780	159
830	780	158
831	780	157
832	781	156
833	781	155
834	781	154
835	782	153
836	782	152
837	782	151
838	783	150
839	783	149
840	783	148
841	783	147
842	784	146
843	784	144
844	784	143
845	785	142
846	785	141
847	785	140
848	785	139
849	786	138
850	786	137
851	786	136
852	787	135
853	787	134
854	787	133
855	788	132
856	788	131
857	788	130
858	789	129
859	789	128
860	789	127
861	790	126
862	790	125
863	790	124
864	790	123
865	791	122
866	791	121
867	791	120
868	792	119
869	792	118
870	792	117
871	792	116
872	793	115
873	793	114
874	803	114
875	814	115
876	824	115
877	824	114
878	825	113
879	825	112
880	825	111
881	826	110
882	826	109
883	827	108
884	827	107
885	827	106
886	828	105
887	828	104
888	828	103
889	829	102
890	829	101
891	829	100
892	830	99
893	830	98
894	830	97
895	831	96
896	831	95
897	831	94
898	831	93
899	832	92
900	832	91
901	832	90
902	833	89
903	833	88
904	833	87
905	833	86
906	834	85
907	834	84
908	834	83
909	835	82
910	835	81
911	835	80
912	835	79
913	836	78
914	836	77
915	836	76
916	837	75
917	837	74
918	837	73
919	838	72
920	838	71
921	838	70
922	838	69
923	839	69
924	839	68
925	839	67
926	840	66
927	840	65
928	840	64
929	840	63
930	841	62
931	841	61
932	841	60
933	842	59
934	842	58
935	842	57
936	842	56
937	843	55
938	863	56
939	863	55
940	864	54
941	874	53
942	874	52
943	875	51
944	875	50
945	875	49
946	876	49
947	876	48
948	876	47
949	876	46
950	877	45
951	877	44
952	877	43
953	878	42
954	878	41
955	878	40
956	879	39
957	879	38
958	879	37
959	880	36
960	880	35
961	880	34
962	880	33
963	881	32
964	881	31
965	881	31
966	882	30
967	882	29
968	882	28
969	882	27
970	883	26
971	893	25
972	893	24
973	903	24
974	904	23
975	904	22
976	904	21
977	905	20
978	905	19
979	905	18
980	906	17
981	906	16
982	906	15
983	907	14
984	907	13
985	907	12
986	908	11
987	908	11
988	908	10
989	909	9
990	909	8
991	909	7
992	910	6
993	910	5
994	910	4
995	911	3
996	911	2
997	911	1
998	911	0
999	912	0
